Campaign name,Day,Platform,Objective,Result type,Results,Reach,Impressions,Amount spent (EUR),Views,Clicks (all),CPC (all),CTR (all),Page engagement,Facebook follows or likes,Link clicks,Instagram profile visits,Website leads,Objective,Website purchases conversion value,Estimated ad recall lift (people)
Nueva campaña de Ventas,2025-04-15,instagram,OUTCOME_SALES,,,988,1272,7.27,1274,9,0.80777778,0.70754717,1,,1,8,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-15,facebook,All,,,1572,1983,6.88,1989,46,0.14956522,2.3197176,16,,15,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-15,facebook,OUTCOME_SALES,,,1572,1983,6.88,1989,46,0.14956522,2.3197176,16,,15,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-15,messenger,All,,,16,16,0.01,16,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-15,messenger,OUTCOME_SALES,,,16,16,0.01,16,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-15,audience_network,All,,,4,11,0.00,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-15,audience_network,OUTCOME_SALES,,,4,11,0.00,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-16,All,All,,,2984,3857,15.91,3843,92,0.17293478,2.38527353,31,1,30,7,4,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-16,instagram,All,,,1012,1281,7.05,1286,15,0.47,1.17096019,8,,8,7,4,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-16,instagram,OUTCOME_SALES,,,1012,1281,7.05,1286,15,0.47,1.17096019,8,,8,7,4,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-16,facebook,All,,,2082,2524,8.84,2536,77,0.11480519,3.05071315,23,1,22,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-16,facebook,OUTCOME_SALES,,,2082,2524,8.84,2536,77,0.11480519,3.05071315,23,1,22,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-16,audience_network,All,,,8,31,0.00,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-16,audience_network,OUTCOME_SALES,,,8,31,0.00,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-16,messenger,All,,,21,21,0.02,21,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-16,messenger,OUTCOME_SALES,,,21,21,0.02,21,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-14,All,All,,,2645,3345,14.72,3338,65,0.22646154,1.9431988,19,,19,4,2,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-14,facebook,All,,,1501,1834,5.74,1839,57,0.10070175,3.10796074,16,,16,0,2,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-14,facebook,OUTCOME_SALES,,,1501,1834,5.74,1839,57,0.10070175,3.10796074,16,,16,0,2,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-14,messenger,All,,,11,11,0.00,11,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-14,messenger,OUTCOME_SALES,,,11,11,0.00,11,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-14,audience_network,All,,,8,18,0.01,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-14,audience_network,OUTCOME_SALES,,,8,18,0.01,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-14,instagram,All,,,1188,1482,8.97,1488,8,1.12125,0.53981107,3,,3,4,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-14,instagram,OUTCOME_SALES,,,1188,1482,8.97,1488,8,1.12125,0.53981107,3,,3,4,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-20,All,All,,,3666,4445,16.33,4454,81,0.20160494,1.82227222,33,,28,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-20,instagram,All,,,1053,1299,6.90,1306,8,0.8625,0.61585835,6,,6,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-20,instagram,OUTCOME_SALES,,,1053,1299,6.90,1306,8,0.8625,0.61585835,6,,6,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-20,facebook,All,,,2637,3126,9.41,3137,73,0.12890411,2.33525272,27,,22,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-20,facebook,OUTCOME_SALES,,,2637,3126,9.41,3137,73,0.12890411,2.33525272,27,,22,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-20,messenger,All,,,11,11,0.00,11,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-20,messenger,OUTCOME_SALES,,,11,11,0.00,11,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-20,audience_network,All,,,5,9,0.02,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-20,audience_network,OUTCOME_SALES,,,5,9,0.02,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-19,All,All,,,2900,3533,15.88,3516,70,0.22685714,1.98131899,27,,26,7,4,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-19,messenger,All,,,15,15,0.01,15,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-19,messenger,OUTCOME_SALES,,,15,15,0.01,15,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-19,audience_network,All,,,12,24,0.04,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-19,audience_network,OUTCOME_SALES,,,12,24,0.04,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-19,instagram,All,,,837,1072,7.41,1074,11,0.67363636,1.0261194,4,,3,7,4,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-19,instagram,OUTCOME_SALES,,,837,1072,7.41,1074,11,0.67363636,1.0261194,4,,3,7,4,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-19,facebook,All,,,2053,2422,8.42,2427,59,0.14271186,2.4360033,23,,23,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-19,facebook,OUTCOME_SALES,,,2053,2422,8.42,2427,59,0.14271186,2.4360033,23,,23,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-19,unknown,All,,,0,0,0.00,0,0,,,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-19,unknown,OUTCOME_SALES,,,0,0,0.00,0,0,,,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-18,All,All,,,2659,3380,13.87,3353,67,0.20701493,1.98224852,32,,30,2,4,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-18,facebook,All,,,1890,2210,7.28,2218,61,0.11934426,2.760181,27,,25,0,2,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-18,facebook,OUTCOME_SALES,,,1890,2210,7.28,2218,61,0.11934426,2.760181,27,,25,0,2,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-18,instagram,All,,,858,1120,6.56,1125,6,1.09333333,0.53571429,5,,5,2,2,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-18,instagram,OUTCOME_SALES,,,858,1120,6.56,1125,6,1.09333333,0.53571429,5,,5,2,2,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-18,messenger,All,,,9,9,0.01,10,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-18,messenger,OUTCOME_SALES,,,9,9,0.01,10,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-18,audience_network,All,,,5,41,0.02,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-18,audience_network,OUTCOME_SALES,,,5,41,0.02,0,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-17,All,All,,,2648,3355,14.25,3339,67,0.21268657,1.99701937,22,,22,2,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-17,audience_network,All,,,7,28,0.02,0,1,0.02,3.57142857,1,,1,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-17,audience_network,OUTCOME_SALES,,,7,28,0.02,0,1,0.02,3.57142857,1,,1,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-17,instagram,All,,,837,1068,6.59,1074,4,1.6475,0.37453184,2,,2,2,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-17,instagram,OUTCOME_SALES,,,837,1068,6.59,1074,4,1.6475,0.37453184,2,,2,2,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-17,facebook,All,,,1914,2238,7.62,2244,62,0.12290323,2.77033065,19,,19,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-17,facebook,OUTCOME_SALES,,,1914,2238,7.62,2244,62,0.12290323,2.77033065,19,,19,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-17,messenger,All,,,21,21,0.02,21,0,,0,,,,0,,OUTCOME_SALES,,0
Nueva campaña de Ventas,2025-04-17,messenger,OUTCOME_SALES,,,21,21,0.02,21,0,,0,,,,0,,OUTCOME_SALES,,0
MONTECLARO,All,All,All,Website leads,49,67088,110292,350.23,151098,1572,0.22279262,1.42530737,23981,,884,450,49,OUTCOME_LEADS,,0
MONTECLARO,2025-04-22,All,All,Website leads,11,6471,7097,22.38,9876,127,0.17622047,1.78948852,1693,,66,37,11,OUTCOME_LEADS,,0
MONTECLARO,2025-04-22,messenger,All,,,0,2,0.00,1,0,,0,,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-22,messenger,OUTCOME_LEADS,,,0,2,0.00,1,0,,0,,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-22,audience_network,All,,,6,6,0.01,6,0,,0,4,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-22,audience_network,OUTCOME_LEADS,,,6,6,0.01,6,0,,0,4,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-22,instagram,All,Website leads,7,5252,5539,17.89,8378,89,0.20101124,1.60678823,1448,,53,37,7,OUTCOME_LEADS,,0
MONTECLARO,2025-04-22,instagram,OUTCOME_LEADS,Website leads,7,5252,5539,17.89,8378,89,0.20101124,1.60678823,1448,,53,37,7,OUTCOME_LEADS,,0
MONTECLARO,2025-04-22,facebook,All,Website leads,4,1466,1550,4.48,1491,38,0.11789474,2.4516129,241,,13,0,4,OUTCOME_LEADS,,0
MONTECLARO,2025-04-22,facebook,OUTCOME_LEADS,Website leads,4,1466,1550,4.48,1491,38,0.11789474,2.4516129,241,,13,0,4,OUTCOME_LEADS,,0
MONTECLARO,2025-04-23,All,All,Website leads,2,6811,7299,25.95,10409,91,0.28516484,1.24674613,1866,,45,33,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-23,instagram,All,Website leads,2,6052,6427,22.57,9559,75,0.30093333,1.16695192,1741,,40,33,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-23,instagram,OUTCOME_LEADS,Website leads,2,6052,6427,22.57,9559,75,0.30093333,1.16695192,1741,,40,33,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-23,facebook,All,,,770,872,3.38,850,16,0.21125,1.83486239,125,,5,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-23,facebook,OUTCOME_LEADS,,,770,872,3.38,850,16,0.21125,1.83486239,125,,5,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-21,All,All,,,8457,8802,24.74,12629,115,0.21513043,1.30652125,1924,,77,26,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-21,messenger,All,,,3,3,0.01,4,0,,0,,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-21,messenger,OUTCOME_LEADS,,,3,3,0.01,4,0,,0,,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-21,audience_network,All,,,8,12,0.03,12,0,,0,11,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-21,audience_network,OUTCOME_LEADS,,,8,12,0.03,12,0,,0,11,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-21,instagram,All,,,6450,6641,20.11,10560,83,0.24228916,1.24981178,1574,,57,26,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-21,instagram,OUTCOME_LEADS,,,6450,6641,20.11,10560,83,0.24228916,1.24981178,1574,,57,26,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-21,facebook,All,,,2040,2146,4.59,2053,32,0.1434375,1.49114632,339,,20,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-21,facebook,OUTCOME_LEADS,,,2040,2146,4.59,2053,32,0.1434375,1.49114632,339,,20,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-26,All,All,Website leads,2,7313,7969,24.22,11443,106,0.22849057,1.33015435,2053,,54,37,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-26,instagram,All,Website leads,2,6254,6409,19.55,9880,80,0.244375,1.24824466,1796,,42,37,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-26,instagram,OUTCOME_LEADS,Website leads,2,6254,6409,19.55,9880,80,0.244375,1.24824466,1796,,42,37,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-26,facebook,All,,,1398,1560,4.67,1563,26,0.17961538,1.66666667,257,,12,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-26,facebook,OUTCOME_LEADS,,,1398,1560,4.67,1563,26,0.17961538,1.66666667,257,,12,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-25,All,All,Website leads,2,6999,7334,24.69,10503,139,0.1776259,1.89528225,1822,,70,45,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-25,facebook,All,,,1356,1508,4.40,1508,41,0.10731707,2.71883289,254,,18,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-25,facebook,OUTCOME_LEADS,,,1356,1508,4.40,1508,41,0.10731707,2.71883289,254,,18,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-25,instagram,All,Website leads,2,5497,5825,20.29,8995,98,0.20704082,1.68240343,1568,,52,45,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-25,instagram,OUTCOME_LEADS,Website leads,2,5497,5825,20.29,8995,98,0.20704082,1.68240343,1568,,52,45,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-25,messenger,All,,,0,1,0.00,0,0,,0,,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-25,messenger,OUTCOME_LEADS,,,0,1,0.00,0,0,,0,,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-24,All,All,Website leads,3,6831,7432,25.94,9721,101,0.25683168,1.35898816,2114,,54,38,3,OUTCOME_LEADS,,0
MONTECLARO,2025-04-24,instagram,All,Website leads,3,5902,6161,22.08,8469,78,0.28307692,1.26602824,1915,,41,38,3,OUTCOME_LEADS,,0
MONTECLARO,2025-04-24,instagram,OUTCOME_LEADS,Website leads,3,5902,6161,22.08,8469,78,0.28307692,1.26602824,1915,,41,38,3,OUTCOME_LEADS,,0
MONTECLARO,2025-04-24,facebook,All,,,1144,1269,3.86,1250,23,0.16782609,1.81245075,197,,13,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-24,facebook,OUTCOME_LEADS,,,1144,1269,3.86,1250,23,0.16782609,1.81245075,197,,13,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-24,audience_network,All,,,0,2,0.00,2,0,,0,2,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-24,audience_network,OUTCOME_LEADS,,,0,2,0.00,2,0,,0,2,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-16,All,All,Website leads,5,6371,7161,25.31,10501,113,0.2239823,1.5779919,1780,,64,42,5,OUTCOME_LEADS,,0
MONTECLARO,2025-04-16,instagram,All,Website leads,5,5776,6310,22.96,9664,103,0.22291262,1.63232964,1658,,61,42,5,OUTCOME_LEADS,,0
MONTECLARO,2025-04-16,instagram,OUTCOME_LEADS,Website leads,5,5776,6310,22.96,9664,103,0.22291262,1.63232964,1658,,61,42,5,OUTCOME_LEADS,,0
MONTECLARO,2025-04-16,facebook,All,,,744,851,2.35,837,10,0.235,1.17508813,122,,3,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-16,facebook,OUTCOME_LEADS,,,744,851,2.35,837,10,0.235,1.17508813,122,,3,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-15,All,All,Website leads,4,6838,7401,24.13,7918,108,0.22342593,1.45926226,214,,56,15,4,OUTCOME_LEADS,,0
MONTECLARO,2025-04-15,audience_network,All,,,6,14,0.00,0,0,,0,,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-15,audience_network,OUTCOME_LEADS,,,6,14,0.00,0,0,,0,,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-15,messenger,All,,,10,11,0.02,11,0,,0,,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-15,messenger,OUTCOME_LEADS,,,10,11,0.02,11,0,,0,,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-15,instagram,All,Website leads,2,3484,3987,15.37,4515,49,0.31367347,1.22899423,176,,33,15,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-15,instagram,OUTCOME_LEADS,Website leads,2,3484,3987,15.37,4515,49,0.31367347,1.22899423,176,,33,15,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-15,facebook,All,Website leads,2,3080,3389,8.74,3392,59,0.14813559,1.74092653,38,,23,0,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-15,facebook,OUTCOME_LEADS,Website leads,2,3080,3389,8.74,3392,59,0.14813559,1.74092653,38,,23,0,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-14,All,All,,,7190,7893,24.79,8301,106,0.23386792,1.34296212,147,,49,14,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-14,audience_network,All,,,8,13,0.00,0,0,,0,,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-14,audience_network,OUTCOME_LEADS,,,8,13,0.00,0,0,,0,,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-14,messenger,All,,,6,6,0.00,6,0,,0,,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-14,messenger,OUTCOME_LEADS,,,6,6,0.00,6,0,,0,,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-14,instagram,All,,,3458,3757,13.76,4183,39,0.35282051,1.03806228,104,,25,14,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-14,instagram,OUTCOME_LEADS,,,3458,3757,13.76,4183,39,0.35282051,1.03806228,104,,25,14,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-14,facebook,All,,,3920,4117,11.03,4112,67,0.16462687,1.62739859,43,,24,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-14,facebook,OUTCOME_LEADS,,,3920,4117,11.03,4112,67,0.16462687,1.62739859,43,,24,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-20,All,All,Website leads,4,8546,8906,27.04,13084,124,0.21806452,1.39231978,2256,,79,23,4,OUTCOME_LEADS,,0
MONTECLARO,2025-04-20,audience_network,All,,,12,25,0.07,25,1,0.07,4,21,,1,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-20,audience_network,OUTCOME_LEADS,,,12,25,0.07,25,1,0.07,4,21,,1,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-20,facebook,All,Website leads,2,1446,1585,3.44,1579,37,0.09297297,2.33438486,262,,15,0,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-20,facebook,OUTCOME_LEADS,Website leads,2,1446,1585,3.44,1579,37,0.09297297,2.33438486,262,,15,0,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-20,instagram,All,Website leads,2,7102,7296,23.53,11480,86,0.27360465,1.17872807,1973,,63,23,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-20,instagram,OUTCOME_LEADS,Website leads,2,7102,7296,23.53,11480,86,0.27360465,1.17872807,1973,,63,23,2,OUTCOME_LEADS,,0
MONTECLARO,2025-04-19,All,All,Website leads,9,8012,8495,26.32,12513,122,0.2157377,1.43613891,2080,,82,37,9,OUTCOME_LEADS,,0
MONTECLARO,2025-04-19,audience_network,All,,,0,2,0.01,2,0,,0,2,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-19,audience_network,OUTCOME_LEADS,,,0,2,0.01,2,0,,0,2,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-19,instagram,All,Website leads,8,7040,7247,23.33,11310,114,0.20464912,1.57306472,1895,,76,37,8,OUTCOME_LEADS,,0
MONTECLARO,2025-04-19,instagram,OUTCOME_LEADS,Website leads,8,7040,7247,23.33,11310,114,0.20464912,1.57306472,1895,,76,37,8,OUTCOME_LEADS,,0
MONTECLARO,2025-04-19,facebook,All,Website leads,1,1130,1246,2.98,1201,8,0.3725,0.64205457,183,,6,0,1,OUTCOME_LEADS,,0
MONTECLARO,2025-04-19,facebook,OUTCOME_LEADS,Website leads,1,1130,1246,2.98,1201,8,0.3725,0.64205457,183,,6,0,1,OUTCOME_LEADS,,0
MONTECLARO,2025-04-18,All,All,,,8345,8492,24.46,12386,115,0.21269565,1.35421573,2130,,70,32,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-18,instagram,All,,,6836,7120,21.12,11034,88,0.24,1.23595506,1887,,55,32,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-18,instagram,OUTCOME_LEADS,,,6836,7120,21.12,11034,88,0.24,1.23595506,1887,,55,32,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-18,facebook,All,,,1318,1371,3.34,1351,27,0.1237037,1.96936543,242,,15,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-18,facebook,OUTCOME_LEADS,,,1318,1371,3.34,1351,27,0.1237037,1.96936543,242,,15,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-18,audience_network,All,,,1,1,0.00,1,0,,0,1,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-18,audience_network,OUTCOME_LEADS,,,1,1,0.00,1,0,,0,1,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-17,All,All,Website leads,7,6650,6892,22.78,9669,106,0.21490566,1.53801509,1690,,56,43,7,OUTCOME_LEADS,,0
MONTECLARO,2025-04-17,facebook,All,,,924,986,2.53,955,12,0.21083333,1.21703854,139,,4,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-17,facebook,OUTCOME_LEADS,,,924,986,2.53,955,12,0.21083333,1.21703854,139,,4,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-17,instagram,All,Website leads,7,5550,5905,20.24,8713,94,0.21531915,1.5918713,1550,,52,43,7,OUTCOME_LEADS,,0
MONTECLARO,2025-04-17,instagram,OUTCOME_LEADS,Website leads,7,5550,5905,20.24,8713,94,0.21531915,1.5918713,1550,,52,43,7,OUTCOME_LEADS,,0
MONTECLARO,2025-04-17,audience_network,All,,,0,1,0.01,1,0,,0,1,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-17,audience_network,OUTCOME_LEADS,,,0,1,0.01,1,0,,0,1,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-27,All,All,,,8999,9119,27.48,12145,99,0.27757576,1.08564536,2212,,62,28,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-27,instagram,All,,,6500,6766,21.51,9799,77,0.27935065,1.13804316,1851,,48,28,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-27,instagram,OUTCOME_LEADS,,,6500,6766,21.51,9799,77,0.27935065,1.13804316,1851,,48,28,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-27,audience_network,All,,,2,7,0.00,7,0,,0,4,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-27,audience_network,OUTCOME_LEADS,,,2,7,0.00,7,0,,0,4,,,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-27,facebook,All,,,2080,2346,5.97,2339,22,0.27136364,0.93776641,357,,14,0,,OUTCOME_LEADS,,0
MONTECLARO,2025-04-27,facebook,OUTCOME_LEADS,,,2080,2346,5.97,2339,22,0.27136364,0.93776641,357,,14,0,,OUTCOME_LEADS,,0